year,serial,pernum,asec_flag,weight,state_fips,age,sex,nativity,empstat,educ,hrs_work,earn_week,immigrant,employed,female,educ_cat,state_abb,state_name,ln_earn,earn_extreme
2000,2,1,1,974.38,23,51,2,5,10,125,48,846,1,1,1,college_plus,ME,Maine,6.740519359606223,0
2000,16,1,1,1061.7,23,29,2,1,10,111,50,770,0,1,1,college_plus,ME,Maine,6.646390514847729,0
2000,16,2,1,1061.7,23,31,1,1,10,111,40,150,0,1,0,college_plus,ME,Maine,5.0106352940962555,0
2000,23,1,1,1135.97,23,43,2,1,10,123,40,961,0,1,1,college_plus,ME,Maine,6.8679744089702925,0
2000,23,2,1,1135.97,23,42,1,1,10,125,40,692,0,1,0,college_plus,ME,Maine,6.539585955617669,0
2000,34,1,1,963.13,23,41,1,1,10,91,55,1000,0,1,0,some_college,ME,Maine,6.907755278982137,0
2000,34,2,1,963.13,23,47,2,3,10,111,32,624,0,1,1,college_plus,ME,Maine,6.436150368369428,0
2000,47,1,1,963.13,23,46,1,1,10,73,40,400,0,1,0,hs,ME,Maine,5.991464547107982,0
2000,47,2,1,963.13,23,46,2,1,10,92,40,590,0,1,1,some_college,ME,Maine,6.380122536899765,0
2000,48,1,1,1107.84,23,45,1,1,10,91,NA,904,0,1,0,some_college,ME,Maine,6.806829360392176,0
2000,48,2,1,1107.84,23,48,2,1,10,92,40,421,0,1,1,some_college,ME,Maine,6.042632833682381,0
2000,52,1,1,966.96,23,36,2,1,10,73,16,184,0,1,1,hs,ME,Maine,5.214935757608986,0
2000,53,1,1,966.96,23,38,2,1,10,111,45,1594,0,1,1,college_plus,ME,Maine,7.374001859350161,0
2000,53,2,1,966.96,23,36,1,1,10,111,45,2885,0,1,0,college_plus,ME,Maine,7.9672801789422,0
2000,55,1,1,952.65,23,43,1,4,10,73,50,885,1,1,0,hs,ME,Maine,6.785587645007929,0
2000,55,2,1,952.65,23,31,2,3,10,92,40,615,0,1,1,some_college,ME,Maine,6.421622267806518,0
2000,73,1,1,1060.83,23,44,1,3,10,73,40,920,0,1,0,hs,ME,Maine,6.824373670043086,0
2000,73,2,1,1647.89,23,43,1,1,10,81,40,827,0,1,0,some_college,ME,Maine,6.717804695023691,0
2000,75,1,1,975.97,23,38,2,1,10,81,40,673,0,1,1,some_college,ME,Maine,6.511745329644728,0
2000,75,2,1,975.97,23,43,1,1,10,91,40,1038,0,1,0,some_college,ME,Maine,6.945051063725834,0
2000,77,4,1,975.97,23,45,1,1,10,111,70,288,0,1,0,college_plus,ME,Maine,5.662960480135946,0
2000,78,2,1,975.97,23,38,1,1,10,73,NA,769,0,1,0,hs,ME,Maine,6.645090969505644,0
2000,86,1,1,994.58,23,53,2,1,12,73,8,60,0,1,1,hs,ME,Maine,4.0943445622221,0
2000,86,2,1,994.58,23,40,1,1,10,124,45,761,0,1,0,college_plus,ME,Maine,6.634633357861686,0
2000,100,2,1,952.65,23,34,2,1,10,73,40,850,0,1,1,hs,ME,Maine,6.745236349484363,0
2000,101,1,1,975.97,23,45,1,1,10,111,40,500,0,1,0,college_plus,ME,Maine,6.214608098422191,0
2000,101,2,1,975.97,23,37,2,1,10,111,40,615,0,1,1,college_plus,ME,Maine,6.421622267806518,0
2000,102,1,1,553.87,23,35,2,1,10,91,38,635,0,1,1,some_college,ME,Maine,6.453624998892692,0
2000,102,2,1,553.87,23,31,1,1,10,73,46,865,0,1,0,hs,ME,Maine,6.762729506931879,0
2000,151,1,1,1185.77,23,32,1,1,10,92,40,369,0,1,0,some_college,ME,Maine,5.910796644040527,0
2000,159,1,1,1036.79,23,59,1,2,10,73,40,558,0,1,0,hs,ME,Maine,6.324358962381311,0
2000,181,1,1,1066.1,23,43,1,1,10,73,40,400,0,1,0,hs,ME,Maine,5.991464547107982,0
2000,192,1,1,1072.45,23,45,1,3,10,73,56,788,0,1,0,hs,ME,Maine,6.669498089857879,0
2000,193,3,1,1091,23,26,1,1,10,73,48,350,0,1,0,hs,ME,Maine,5.857933154483459,0
2000,201,1,1,1141.12,23,54,1,1,10,73,NA,685,0,1,0,hs,ME,Maine,6.529418838262226,0
2000,201,2,1,1141.12,23,44,2,1,10,81,NA,655,0,1,1,some_college,ME,Maine,6.484635235635252,0
2000,214,1,1,1036.79,23,57,2,1,10,123,40,808,0,1,1,college_plus,ME,Maine,6.694562058521095,0
2000,232,1,1,1130.58,23,42,2,1,10,81,36,1000,0,1,1,some_college,ME,Maine,6.907755278982137,0
2000,238,1,1,952.65,23,35,1,1,10,73,40,731,0,1,0,hs,ME,Maine,6.594413459749778,0
2000,240,1,1,994.58,23,52,1,1,10,111,40,769,0,1,0,college_plus,ME,Maine,6.645090969505644,0
2000,240,2,1,994.58,23,50,2,1,10,111,36,313,0,1,1,college_plus,ME,Maine,5.746203190540153,0
2000,260,1,1,904.43,23,34,1,1,10,73,50,464,0,1,0,hs,ME,Maine,6.139884552226255,0
2000,283,2,1,1106.06,23,34,2,1,10,50,16,92,0,1,1,less_hs,ME,Maine,4.5217885770490405,0
2000,285,1,1,903.98,23,60,2,1,10,91,4,32,0,1,1,some_college,ME,Maine,3.4657359027997265,0
2000,290,1,1,1035.22,23,53,1,1,10,123,40,823,0,1,0,college_plus,ME,Maine,6.71295620067707,0
2000,291,1,1,1103.43,23,56,1,1,10,73,40,769,0,1,0,hs,ME,Maine,6.645090969505644,0
2000,292,1,1,1080.46,23,41,1,1,10,123,50,1000,0,1,0,college_plus,ME,Maine,6.907755278982137,0
2000,292,2,1,1080.46,23,45,2,1,10,73,NA,115,0,1,1,hs,ME,Maine,4.74493212836325,0
2000,308,1,1,1301.85,23,36,1,1,10,73,42,360,0,1,0,hs,ME,Maine,5.886104031450156,0
2000,319,2,1,929.1,23,33,2,4,10,73,35,223,1,1,1,hs,ME,Maine,5.407171771460119,0
2000,367,1,1,1107.84,23,47,1,1,10,111,40,1250,0,1,0,college_plus,ME,Maine,7.1308988302963465,0
2000,367,2,1,1107.84,23,46,2,1,10,111,45,769,0,1,1,college_plus,ME,Maine,6.645090969505644,0
2000,376,1,1,1216.43,23,34,2,1,10,73,50,625,0,1,1,hs,ME,Maine,6.437751649736401,0
2000,382,1,1,1080.46,23,52,1,1,10,73,40,280,0,1,0,hs,ME,Maine,5.634789603169249,0
2000,382,2,1,1080.46,23,47,2,1,10,73,40,263,0,1,1,hs,ME,Maine,5.572154032177765,0
2000,382,3,1,1147.93,23,27,1,1,10,73,40,550,0,1,0,hs,ME,Maine,6.309918278226516,0
2000,383,1,1,1130.47,23,33,2,1,10,111,40,438,0,1,1,college_plus,ME,Maine,6.082218910376446,0
2000,383,2,1,1130.47,23,29,1,1,10,73,40,400,0,1,0,hs,ME,Maine,5.991464547107982,0
2000,441,1,1,909.05,23,33,1,1,10,123,40,230,0,1,0,college_plus,ME,Maine,5.438079308923196,0
2000,443,1,1,951.85,23,39,1,1,10,73,45,900,0,1,0,hs,ME,Maine,6.802394763324311,0
2000,443,3,1,951.85,23,39,2,1,10,73,35,150,0,1,1,hs,ME,Maine,5.0106352940962555,0
2000,444,2,1,885.98,23,51,2,1,10,111,70,788,0,1,1,college_plus,ME,Maine,6.669498089857879,0
2000,451,1,1,919.05,23,47,2,1,10,92,40,408,0,1,1,some_college,ME,Maine,6.0112671744041615,0
2000,451,3,1,919.05,23,49,1,1,10,81,NA,600,0,1,0,some_college,ME,Maine,6.396929655216146,0
2000,460,1,1,905.53,23,55,1,5,10,111,50,654,1,1,0,college_plus,ME,Maine,6.483107351457199,0
2000,460,2,1,905.53,23,52,2,1,10,123,50,769,0,1,1,college_plus,ME,Maine,6.645090969505644,0
